date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2022-01-03,SKU0001,233,0,7.0,33
2022-01-10,SKU0001,197,0,7.0,33
2022-01-17,SKU0001,161,0,7.0,33
2022-01-24,SKU0001,128,0,7.0,33
2022-01-31,SKU0001,101,0,7.0,33
2022-02-07,SKU0001,72,0,7.0,33
2022-02-14,SKU0001,40,0,7.0,33
2022-02-21,SKU0001,193,295,7.0,33
2022-02-28,SKU0001,154,0,7.0,33
2022-03-07,SKU0001,130,0,7.0,33
2022-03-14,SKU0001,108,0,7.0,33
2022-03-21,SKU0001,91,0,7.0,33
2022-03-28,SKU0001,62,0,7.0,33
2022-04-04,SKU0001,37,0,7.0,33
2022-04-11,SKU0001,192,345,7.0,33
2022-04-18,SKU0001,177,0,7.0,33
2022-04-25,SKU0001,155,0,7.0,33
2022-05-02,SKU0001,133,0,7.0,33
2022-05-09,SKU0001,106,0,7.0,33
2022-05-16,SKU0001,78,0,7.0,33
2022-05-23,SKU0001,59,0,7.0,33
2022-05-30,SKU0001,45,0,7.0,33
2022-06-06,SKU0001,34,0,7.0,33
2022-06-13,SKU0001,271,178,,33
2022-06-20,SKU0001,245,0,7.0,33
2022-06-27,SKU0001,226,0,7.0,33
2022-07-04,SKU0001,208,0,7.0,33
2022-07-11,SKU0001,192,0,7.0,33
2022-07-18,SKU0001,176,0,7.0,33
2022-07-25,SKU0001,157,0,7.0,33
2022-08-01,SKU0001,138,0,,33
2022-08-08,SKU0001,127,0,7.0,33
2022-08-15,SKU0001,113,0,7.0,33
2022-08-22,SKU0001,89,0,7.0,33
2022-08-29,SKU0001,77,0,7.0,33
2022-09-05,SKU0001,59,0,7.0,33
2022-09-12,SKU0001,43,0,7.0,33
2022-09-19,SKU0001,13,253,7.0,33
2022-09-26,SKU0001,170,303,7.0,33
2022-10-03,SKU0001,140,0,7.0,33
2022-10-10,SKU0001,103,0,7.0,33
2022-10-17,SKU0001,74,0,,33
2022-10-24,SKU0001,52,0,,33
2022-10-31,SKU0001,15,262,7.0,33
2022-11-07,SKU0001,0,199,7.0,33
2022-11-14,SKU0001,184,209,7.0,33
2022-11-21,SKU0001,150,0,7.0,33
2022-11-28,SKU0001,128,0,7.0,33
2022-12-05,SKU0001,95,0,7.0,33
2022-12-12,SKU0001,56,0,7.0,33
2022-12-19,SKU0001,15,279,7.0,33
2022-12-26,SKU0001,0,329,7.0,33
2023-01-02,SKU0001,190,291,7.0,33
2023-01-09,SKU0001,158,0,7.0,33
2023-01-16,SKU0001,130,0,7.0,33
2023-01-23,SKU0001,102,0,7.0,33
2023-01-30,SKU0001,75,0,7.0,33
2023-02-06,SKU0001,47,0,7.0,33
2023-02-13,SKU0001,27,223,7.0,33
2023-02-20,SKU0001,0,352,7.0,33
2023-02-27,SKU0001,185,191,7.0,33
2023-03-06,SKU0001,170,0,7.0,33
2023-03-13,SKU0001,147,0,7.0,33
2023-03-20,SKU0001,123,0,7.0,33
2023-03-27,SKU0001,94,0,7.0,33
2023-04-03,SKU0001,77,0,7.0,33
2023-04-10,SKU0001,51,0,7.0,33
2023-04-17,SKU0001,24,227,7.0,33
2023-04-24,SKU0001,210,349,7.0,33
2023-05-01,SKU0001,190,0,7.0,33
2023-05-08,SKU0001,169,0,7.0,33
2023-05-15,SKU0001,139,0,7.0,33
2023-05-22,SKU0001,111,0,7.0,33
2023-05-29,SKU0001,81,0,7.0,33
2023-06-05,SKU0001,65,0,7.0,33
2023-06-12,SKU0001,50,0,,33
2023-06-19,SKU0001,37,0,7.0,33
2023-06-26,SKU0001,166,235,7.0,33
2023-07-03,SKU0001,141,0,7.0,33
2023-07-10,SKU0001,120,0,7.0,33
2023-07-17,SKU0001,109,0,7.0,33
2023-07-24,SKU0001,92,0,7.0,33
2023-07-31,SKU0001,66,0,7.0,33
2023-08-07,SKU0001,44,0,7.0,33
2023-08-14,SKU0001,268,180,7.0,33
2023-08-21,SKU0001,243,0,7.0,33
2023-08-28,SKU0001,221,0,7.0,33
2023-09-04,SKU0001,187,0,7.0,33
2023-09-11,SKU0001,154,0,7.0,33
2023-09-18,SKU0001,125,0,7.0,33
2023-09-25,SKU0001,108,0,7.0,33
2023-10-02,SKU0001,85,0,,33
2023-10-09,SKU0001,48,0,7.0,33
2023-10-16,SKU0001,21,332,7.0,33
2023-10-23,SKU0001,0,234,7.0,33
2023-10-30,SKU0001,134,340,7.0,33
2023-11-06,SKU0001,118,0,7.0,33
2023-11-13,SKU0001,80,0,7.0,33
2023-11-20,SKU0001,43,0,7.0,33
2023-11-27,SKU0001,242,224,7.0,33
2023-12-04,SKU0001,220,0,7.0,33
2023-12-11,SKU0001,187,0,7.0,33
