sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU0001,Furnishings,Sofas,2021-05-01,2110.16,3425.34
SKU0002,Storage,Baskets,2021-07-01,447.9,694.21
SKU0003,Decor,Rugs,2021-01-01,4577.71,11653.16
SKU0004,Bedding,Duvets,2020-10-01,2369.89,6614.08
SKU0005,Decor,Candles,2020-06-01,2367.4,4129.93
SKU0006,Furnishings,Sofas,2020-02-01,3000.04,5851.07
SKU0007,Furnishings,Shelving,2021-02-01,7790.3,15624.65
SKU0008,Storage,Organisers,2021-04-01,5695.66,8391.52
SKU0009,Decor,Mirrors,2019-04-01,6958.57,13974.21
SKU0010,Small Appliances,Blenders,2020-06-01,1834.15,3351.29
SKU0011,Furnishings,Cabinets,2021-03-01,4366.29,7823.07
SKU0012,Small Appliances,Kettles,2019-11-01,2729.41,7176.44
SKU0013,Furnishings,Tables,2019-06-01,3329.09,5013.28
SKU0014,Storage,Organisers,2019-11-01,4094.0,11526.63
SKU0015,Bedding,Duvets,2020-03-01,2123.69,4880.64
SKU0016,Small Appliances,Kettles,2020-10-01,3315.32,5804.84
SKU0017,Decor,Rugs,2020-02-01,6095.1,16930.75
SKU0018,Decor,Candles,2020-10-01,695.52,1398.41
SKU0019,Storage,Organisers,2021-01-01,5506.21,8717.89
SKU0020,Storage,Organisers,2021-06-01,1070.11,2242.55
SKU0021,Bedding,Pillows,2021-12-01,2254.43,4961.86
SKU0022,Decor,Rugs,2019-11-01,2527.87,6123.31
SKU0023,Decor,Mirrors,2019-09-01,7637.3,21964.07
SKU0024,Storage,Organisers,2020-01-01,1072.57,2124.51
SKU0025,Small Appliances,Blenders,2019-04-01,7048.47,20547.13
SKU0026,Furnishings,Shelving,2019-09-01,6173.51,9911.12
SKU0027,Storage,Boxes,2020-09-01,7004.98,14549.49
SKU0028,Decor,Rugs,2021-12-01,1768.98,3358.84
SKU0029,Small Appliances,Air Fryers,2021-08-01,1143.83,2012.59
SKU0030,Small Appliances,Coffee Makers,2021-09-01,1994.89,3495.74
SKU0031,Furnishing,Sofas,2019-02-01,7262.28,20155.85
SKU0032,Small Appliances,Air Fryers,2019-09-01,1232.03,3568.97
SKU0033,Storage,Hangers,2020-04-01,6320.03,17013.49
SKU0034,Decor,Lighting,2019-11-01,3562.2,7401.27
SKU0035,Furnishings,Sofas,2019-07-01,5880.07,15764.16
SKU0036,Decor,Vases,2021-08-01,1293.42,2190.51
SKU0037,Furnishings,Shelving,2021-02-01,594.59,1783.09
SKU0038,Furnishings,Tables,2019-07-01,3988.0,6947.08
SKU0039,Furnishings,Tables,2020-01-01,7885.41,14385.55
SKU0040,Bedding,Bed Sheets,2020-12-01,7667.08,22945.09
SKU0041,Storage,Racks,2019-04-01,2514.32,7417.08
