feature,importance_mean,importance_std
rolling_mean_13,2.294277004130169,0.011075898369949991
rolling_mean_8,0.4325128535051057,0.0031300241471129793
promo_ratio,0.07721133755044311,0.004041593668474005
lag_26,0.056148233441664974,0.0009116464997468599
lag_13,0.0475340186276104,0.001061338466913598
holiday_ratio,0.03194871783188495,0.0019206696400471135
lag_1,0.027582251904821532,0.0007898109327848676
lag_52,0.027005797806170007,0.0010245727002047523
rolling_std_8,0.02224885702994186,0.00045579455037453645
month_num,0.017622823373930487,0.0007349648664312535
cos_week,0.015493442648502142,0.0020764465989403574
week_of_year,0.009404285430176972,0.001169520655294793
lag_8,0.008795439268579263,0.00025324650816956317
unit_cost,0.007510083021261149,0.001096473829072567
lag_2,0.0031674967266970278,0.00042971974542067626
list_price,0.0026503622732397592,0.00030334619555631666
rolling_mean_4,0.002198045853278563,0.00022970315436092285
sin_week,0.0008081636631470434,0.00029050925084815686
quarter,0.0,0.0
lag_4,-0.004211726208359768,0.000635139170872235
